"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","recreation","ecosystem","economic","viewshed","historic","culture"
"1",98,"PhD or Higher","45 - 64  years","Male","No","Yes","2016-03-15T21:26:32.419Z",126,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,"POINT",-71.792508,43.688543,0,3,0,3,2,2
"2",105,NA,NA,NA,NA,NA,"2016-03-15T21:28:42.201Z",132,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.801147,43.663401,NA,NA,NA,NA,NA,NA
"3",114,"Masters","65 - 84 years","Male","No","Yes","2016-03-15T21:34:52.726Z",140,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.779175,43.659986,2,2,1,3,2,2
"4",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:42:00.687Z",150,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.81179,43.716031,NA,NA,NA,NA,NA,NA
"5",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:42:45.814Z",151,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.808701,43.699651,NA,NA,NA,NA,NA,NA
"6",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:43:21.829Z",152,"Conservation Priorities","Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA
"7",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:59:55.613Z",177,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.783295,43.607245,NA,3,2,3,2,2
"8",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:56:33.738Z",171,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.804924,43.666382,3,3,1,3,2,2
"9",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T21:57:38.219Z",172,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.777115,43.620171,3,3,1,3,2,2
"10",126,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-15T21:50:42.363Z",165,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.801971,43.722582,1,3,0,3,3,3
"11",126,"Masters","45 - 64  years","Male","Yes","Yes","2016-03-15T21:50:01.681Z",163,"Conservation Priorities","Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.906891,43.670554,3,3,NA,3,NA,3
"12",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:02:26.224Z",182,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.904831,43.732406,3,3,3,3,3,2
"13",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:03:21.169Z",185,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.890411,43.701389,3,3,3,3,2,2
"14",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:04:39.718Z",191,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.857109,43.695431,3,3,3,3,2,2
"15",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:02:55.137Z",184,"Conservation Priorities","Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,"POINT",-71.899681,43.715535,3,3,3,3,2,2
