"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longitude","latitude","highdensity_apartments","highdensity_singlefamily","ruraldensity_lessthan10","ruraldensity_10plus","recreation","small_business","commercial_business","workforce_housing","accessory_apartments","other","if_other_text"
"1",98,"PhD or Higher","45 - 64  years","Male","No","Yes","2016-03-15T21:28:15.133Z",131,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.757889,43.722316,0,1,0,0,0,1,0,0,0,0,""
"2",98,"PhD or Higher","45 - 64  years","Male","No","Yes","2016-03-15T21:27:34.516Z",128,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.736603,43.643032,0,1,1,0,0,1,0,0,0,0,""
"3",114,"Masters","65 - 84 years","Male","No","Yes","2016-03-15T21:35:38.094Z",141,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,0,1,0,0,1,0,0,1,0,0,""
"4",120,"Masters","45 - 64  years","Female","Yes","Yes","2016-03-15T21:43:54.805Z",154,"Areas Appropriate for Development","Google Hybrid, Conservation Land, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"5",122,"Masters","65 - 84 years","Male","Yes","Yes","2016-03-15T22:01:07.333Z",180,"Areas Appropriate for Development","Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659924,0,0,0,1,0,0,0,0,0,1,"no further development.  Planing and zoning boards should place severe restrictions on all development within the watershed and impose restrictions on altering existing properties within the watershed."
"6",130,"PhD or Higher","65 - 84 years","Female","No","Yes","2016-03-15T22:16:22.147Z",206,"Areas Appropriate for Development","Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.891441,43.815207,0,0,0,0,0,1,1,0,0,0,""
"7",142,NA,NA,NA,NA,NA,"2016-03-15T23:04:20.369Z",228,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"8",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T23:00:51.015Z",225,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.730766,43.629366,0,0,0,0,0,1,0,0,0,0,""
"9",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T23:00:40.177Z",224,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.782608,43.623774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"10",158,"Bachelors","25 - 44 years","Male","No","Yes","2016-03-15T23:00:07.153Z",223,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",12,"POINT",-71.757545,43.621165,0,0,0,0,0,1,0,0,0,0,""
"11",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:14:11.570Z",231,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",15,"POINT",-71.832098,43.683639,0,0,0,0,0,0,0,0,0,1,""
"12",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:16:46.351Z",236,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.821082,43.656521,0,0,0,0,0,0,0,0,0,1,""
"13",164,"Bachelors","45 - 64  years","Female","No","Yes","2016-03-15T23:17:20.717Z",238,"Areas Appropriate for Development","Google Hybrid, Newfound Lake Watershed, Conservation Land",16,"POINT",-71.812473,43.637479,0,0,0,0,0,0,0,0,0,1,""
