"","respondent","education","Select.your.age.range","Gender","NLRA_Member","NH_Resident_Yes2","createtime","id","buttonname","visibleLayers","zoomLevel","shape","longtitude","latitude","soil_quality","waterquality","wildlife","recreation","scenic","tourism","business","rural"
"1",78,NA,NA,NA,NA,NA,"2016-03-15T21:10:17.227Z",112,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,1,2,1,0,0,1,0,1
"2",78,NA,NA,NA,NA,NA,"2016-03-15T21:11:08.919Z",113,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",12,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"3",78,NA,NA,NA,NA,NA,"2016-03-15T21:11:55.796Z",115,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"4",78,NA,NA,NA,NA,NA,"2016-03-15T21:12:38.700Z",117,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"5",78,NA,NA,NA,NA,NA,"2016-03-15T21:13:03.256Z",118,"Threats to the Landscape","Roads and Terrain, Newfound Lake Watershed",14,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"6",79,"Masters","65 - 84 years","Female","Yes","No","2016-03-15T21:14:24.772Z",120,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",17,"POINT",-71.735616,43.634281,1,2,1,1,1,1,0,1
"7",79,"Masters","65 - 84 years","Female","Yes","No","2016-03-15T21:13:16.181Z",119,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.772051,43.63974,1,3,1,1,1,1,1,1
"8",79,"Masters","65 - 84 years","Female","Yes","No","2016-03-15T21:12:05.949Z",116,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",14,"POINT",-71.735144,43.619549,1,3,0,1,1,1,1,2
"9",80,NA,NA,NA,NA,NA,"2016-03-15T21:11:38.002Z",114,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",11,"POINT",-71.779175,43.659986,NA,NA,NA,NA,NA,NA,NA,NA
"10",87,NA,NA,NA,NA,NA,"2016-03-15T21:38:46.965Z",142,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",15,"POINT",-71.740079,43.620264,3,3,3,0,0,1,3,3
"11",98,"PhD or Higher","45 - 64  years","Male","No","Yes","2016-03-15T21:25:08.418Z",124,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",17,"POINT",-71.793491,43.689073,3,3,3,NA,NA,NA,NA,3
"12",98,"PhD or Higher","45 - 64  years","Male","No","Yes","2016-03-15T21:25:40.554Z",125,"Threats to the Landscape","Google Hybrid, Newfound Lake Watershed",17,"POINT",-71.792132,43.68809,3,3,3,NA,NA,NA,NA,3
