respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longitude,latitude,recreation_not_important,recreation_low,recreation_medium,recreation_high,ecosystem_not_at_all,ecosystems___Low,ecosystems___Medium,ecosystems___High,economic_not_at_all,economic_low,economic_medium,economic_high,viewshed_not_at_all,viewshed_low,viewshed_medium,viewshed_high,historical_value_not_at_all,historical_value_low,historical_value_medium,historical_value_high,cultural_not_at_all,cultural_low,cultural_medium,cultural_high,other_not_at_all,other_low,other_medium,other_high,If_other_text
98,2016-03-15T21:26:32.419Z,126,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",14,POINT,-71.792508,43.688543,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,Wildlife breeding grounds
105,2016-03-15T21:28:42.201Z,132,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.801147,43.663401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,2016-03-15T21:34:52.726Z,140,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.779175,43.659986,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
120,2016-03-15T21:42:00.687Z,150,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.81179,43.716031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2016-03-15T21:42:45.814Z,151,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.808701,43.699651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,2016-03-15T21:43:21.829Z,152,Conservation Priorities,"Google Hybrid, Conservation Lands, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2016-03-15T21:56:33.738Z,171,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.804924,43.666382,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:57:38.219Z,172,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.777115,43.620171,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
122,2016-03-15T21:59:55.613Z,177,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.783295,43.607245,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
126,2016-03-15T21:50:01.681Z,163,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.906891,43.670554,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,
126,2016-03-15T21:50:42.363Z,165,Conservation Priorities,"Google Hybrid, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.801971,43.722582,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,
130,2016-03-15T22:02:26.224Z,182,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.904831,43.732406,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,
130,2016-03-15T22:02:55.137Z,184,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.899681,43.715535,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
130,2016-03-15T22:03:21.169Z,185,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.890411,43.701389,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
130,2016-03-15T22:03:53.714Z,188,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.878052,43.693942,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
130,2016-03-15T22:04:39.718Z,191,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.857109,43.695431,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
130,2016-03-15T22:05:38.713Z,195,Conservation Priorities,"Roads and Terrain, Newfound Lake Watershed, Conservation Lands",12,POINT,-71.864319,43.714046,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,
