respondent,education,Select your age range,Gender,NLRA_Member,NH_Resident_Yes2
8,,45 - 64  years,,,
17,,18 - 24 years,Male,,
28,,85 years and over,Male,,
50,Bachelors,45 - 64  years,Male,,Yes
79,Masters,65 - 84 years,Female,Yes,No
83,,65 - 84 years,,,
91,High School,65 - 84 years,Male,Yes,Yes
98,PhD or Higher,45 - 64  years,Male,No,Yes
111,Bachelors,45 - 64  years,Male,No,Yes
114,Masters,65 - 84 years,Male,No,Yes
120,Masters,45 - 64  years,Female,Yes,Yes
122,Masters,65 - 84 years,Male,Yes,Yes
126,Masters,45 - 64  years,Male,Yes,Yes
130,PhD or Higher,65 - 84 years,Female,No,Yes
131,Associates,45 - 64  years,Male,Yes,Yes
148,High School,45 - 64  years,Male,No,Yes
158,Bachelors,25 - 44 years,Male,No,Yes
164,Bachelors,45 - 64  years,Female,No,Yes
166,Bachelors,45 - 64  years,Male,Yes,Yes
179,PhD or Higher,45 - 64  years,Male,Yes,No
181,Bachelors,45 - 64  years,Female,No,Yes
193,High School,45 - 64  years,Female,No,Yes
199,PhD or Higher,65 - 84 years,Female,Yes,No
203,PhD or Higher,65 - 84 years,Female,Yes,No
220,Bachelors,45 - 64  years,Male,No,No
227,Masters,65 - 84 years,Female,Yes,Yes
239,Masters,45 - 64  years,Male,Yes,No
264,PhD or Higher,65 - 84 years,Female,Yes,Yes
272,Masters,65 - 84 years,Male,No,Yes
273,High School,65 - 84 years,Male,No,Yes
281,Bachelors,45 - 64  years,Male,No,Yes
283,Masters,25 - 44 years,Female,No,Yes
293,Bachelors,45 - 64  years,Male,Yes,No
295,Bachelors,25 - 44 years,Male,Yes,No
296,Bachelors,65 - 84 years,Male,Yes,No
301,Masters,25 - 44 years,Male,Yes,Yes
306,Bachelors,65 - 84 years,Female,Yes,Yes
310,Bachelors,65 - 84 years,Female,Yes,Yes
318,Bachelors,45 - 64  years,Female,Yes,No
319,Associates,45 - 64  years,Male,Yes,No
321,Bachelors,65 - 84 years,Male,Yes,No
328,,85 years and over,,,
343,Masters,45 - 64  years,Male,Yes,No
345,Bachelors,45 - 64  years,Female,No,Yes
349,Masters,65 - 84 years,Male,Yes,No
367,Bachelors,65 - 84 years,Male,No,Yes
368,Masters,65 - 84 years,Male,No,Yes
371,Bachelors,65 - 84 years,,Yes,Yes
388,Bachelors,65 - 84 years,Male,Yes,No
391,Associates,65 - 84 years,Male,Yes,Yes
392,Masters,65 - 84 years,Female,Yes,No
393,Masters,65 - 84 years,Female,Yes,No
395,Bachelors,45 - 64  years,Male,Yes,Yes
405,Bachelors,65 - 84 years,Male,Yes,Yes
428,Masters,45 - 64  years,Male,Yes,Yes
430,Bachelors,45 - 64  years,Female,Yes,No
435,Bachelors,65 - 84 years,Male,No,No
437,,85 years and over,Male,Yes,Yes
441,PhD or Higher,45 - 64  years,Female,Yes,Yes
443,Bachelors,45 - 64  years,Female,Yes,Yes
444,PhD or Higher,,,No,
446,Bachelors,25 - 44 years,Male,Yes,No
451,Masters,65 - 84 years,Male,Yes,No
457,Bachelors,25 - 44 years,Male,Yes,No
459,Masters,65 - 84 years,Male,No,Yes
461,Bachelors,45 - 64  years,Male,Yes,Yes
463,High School,65 - 84 years,Female,Yes,Yes
467,PhD or Higher,45 - 64  years,Male,Yes,No
468,Masters,45 - 64  years,Male,No,No
470,Bachelors,45 - 64  years,Male,No,Yes
480,PhD or Higher,45 - 64  years,Male,Yes,Yes
484,PhD or Higher,45 - 64  years,Female,No,No
485,Bachelors,45 - 64  years,Male,Yes,No
486,PhD or Higher,45 - 64  years,Male,Yes,No
487,High School,18 - 24 years,Male,Yes,Yes
491,Masters,45 - 64  years,,,
493,Bachelors,45 - 64  years,Male,No,Yes
494,Masters,,Female,Yes,Yes
504,High School,45 - 64  years,Male,No,Yes
