respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longitude,latitude,highdensity_apartments,highdensity_singlefamily,ruraldensity_lessthan10,ruraldensity_10plus,recreation,small_business,commercial_business,workforce_housing,accessory_apartments,other,if_other_text
98,2016-03-15T21:27:34.516Z,128,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.736603,43.643032,0,1,1,0,0,1,0,0,0,0,
98,2016-03-15T21:28:15.133Z,131,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.757889,43.722316,0,1,0,0,0,1,0,0,0,0,
114,2016-03-15T21:35:38.094Z,141,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,0,1,0,0,1,0,0,1,0,0,
120,2016-03-15T21:43:54.805Z,154,Areas Appropriate for Development,"Google Hybrid, Conservation Land, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,
122,2016-03-15T22:01:07.333Z,180,Areas Appropriate for Development,"Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659924,0,0,0,1,0,0,0,0,0,1,no further development.  Planing and zoning boards should place severe restrictions on all development within the watershed and impose restrictions on altering existing properties within the watershed.
130,2016-03-15T22:16:22.147Z,206,Areas Appropriate for Development,"Roads and Terrain, Newfound Lake Watershed, Conservation Land",12,POINT,-71.891441,43.815207,0,0,0,0,0,1,1,0,0,0,
158,2016-03-15T23:00:07.153Z,223,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.757545,43.621165,0,0,0,0,0,1,0,0,0,0,
158,2016-03-15T23:00:40.177Z,224,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.782608,43.623774,,,,,,,,,,,
158,2016-03-15T23:00:51.015Z,225,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.730766,43.629366,0,0,0,0,0,1,0,0,0,0,
142,2016-03-15T23:04:20.369Z,228,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,,,,,,,,,,,
164,2016-03-15T23:12:58.416Z,229,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",15,POINT,-71.757751,43.72309,,,,,,,,,,,
164,2016-03-15T23:14:11.570Z,231,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",15,POINT,-71.832098,43.683639,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:14:35.139Z,233,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",15,POINT,-71.829283,43.677159,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:15:55.456Z,234,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.810705,43.664454,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:16:05.824Z,235,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.802207,43.661793,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:16:46.351Z,236,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.821082,43.656521,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:16:58.116Z,237,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.817739,43.649662,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:17:20.717Z,238,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",16,POINT,-71.812473,43.637479,0,0,0,0,0,0,0,0,0,1,
164,2016-03-15T23:21:45.605Z,240,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",14,POINT,-71.699421,43.638423,0,0,0,0,0,0,0,0,0,1,
182,2016-03-15T23:42:12.060Z,256,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.760979,43.635827,,,,,,,,,,,
181,2016-03-15T23:42:19.680Z,257,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779261,43.659986,0,0,1,0,1,1,0,0,0,0,
193,2016-03-16T00:16:42.833Z,272,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.828464,43.640331,0,0,0,1,0,0,0,0,0,0,"No ""industrial"" development should be permitted within or around the watershed. Only small scale, rural development."
264,2016-03-16T13:05:44.586Z,336,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779175,43.659986,0,0,0,0,0,0,0,0,0,0,"Each area has its own set of circumstanc each parcel should be viewed separately and not lumped together,each parcel is unique"
277,2016-03-16T13:29:14.516Z,344,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.779261,43.659986,,,,,,,,,,,
281,2016-03-16T13:52:28.492Z,347,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.683731,43.604759,0,0,1,0,0,1,0,0,0,0,
281,2016-03-16T13:53:42.137Z,348,Areas Appropriate for Development,"Google Hybrid, Newfound Lake Watershed, Conservation Land",12,POINT,-71.764069,43.716527,0,0,1,0,0,1,0,0,0,0,
