respondent,createtime,id,buttonname,visibleLayers,zoomLevel,shape,longtitude,latitude,soil_quality_not_threatened,soil_quality_slightly,soil_quality_moderate,soil_quality_highly,waterquality_not,waterquality_slightly,waterquality_moderately,waterquality_highly,wildlife_not_threatened,wildlife_slightly,wildlife_moderately,wildlife_highly,recreation_not_threatened,recreation_slightly,recreation_moderately,recreation_highly,scenic_not,scenic_slightly,scenic_moderately,scenic_highly,tourism_not,tourism_slightly,tourism_moderately,tourism_highly,business_not,business_slightly,business_moderately,business_highly,rural_not,rural_slightly,rural_moderately,rural_highly,other_not,other_slightly,other_moderately,other_highly,If_other_text
78,2016-03-15T21:10:17.227Z,112,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,
78,2016-03-15T21:11:08.919Z,113,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-15T21:11:55.796Z,115,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-15T21:12:38.700Z,117,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2016-03-15T21:13:03.256Z,118,Threats to the Landscape,"Roads and Terrain, Newfound Lake Watershed",14,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2016-03-15T21:12:05.949Z,116,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.735144,43.619549,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,
79,2016-03-15T21:13:16.181Z,119,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",14,POINT,-71.772051,43.63974,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
79,2016-03-15T21:14:24.772Z,120,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",17,POINT,-71.735616,43.634281,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,
80,2016-03-15T21:11:38.002Z,114,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",11,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,2016-03-15T21:38:46.965Z,142,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",15,POINT,-71.740079,43.620264,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,
98,2016-03-15T21:23:23.824Z,121,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",13,POINT,-71.77454,43.689887,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
98,2016-03-15T21:24:33.089Z,123,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",15,POINT,-71.792879,43.688708,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
98,2016-03-15T21:25:08.418Z,124,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",17,POINT,-71.793491,43.689073,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
98,2016-03-15T21:25:40.554Z,125,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",17,POINT,-71.792132,43.68809,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
100,2016-03-15T21:23:27.849Z,122,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.779175,43.659986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2016-03-15T21:27:55.409Z,130,Threats to the Landscape,"Google Hybrid, Newfound Lake Watershed",12,POINT,-71.848869,43.704367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
